x_x,x_y,x_z,v_x,v_y,v_z,q0,q1,q2,q3,w_x,w_y,w_z,W1,W2,W3,W4,B_x,B_y,B_z,S_x,S_y,S_z,P,I
5.582851561506193131e+06,-3.879779046628145967e+06,1.721555357276568611e+04,2.705349881647379334e+03,3.917139279991829881e+03,5.994001972841128008e+03,9.992862739364209990e-01,2.213124798569999011e-02,2.146475908166724234e-02,2.182692608742317977e-02,8.979947777934328690e-02,8.447020267360061396e-02,8.740475851471050939e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.650727013732515113e-06,1.143533803230297301e-06,2.389820797586303676e-05,-9.233186490399789559e-01,3.740703491581247597e-01,8.691401622124583781e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.584203349738609977e+06,-3.877819860927501228e+06,2.021255165461980141e+04,2.701802905079653101e+03,3.919603315032733917e+03,5.993990036354299264e+03,9.971472580705165178e-01,4.487526500763027587e-02,4.221063176025083991e-02,4.360984842149898122e-02,9.230054337899271100e-02,8.164842133364402788e-02,8.739607225581950967e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.578665123404035322e-06,2.550250996135168322e-06,2.351282034794560113e-05,-9.084780765936479874e-01,4.167930372285418295e-01,3.084069497455032074e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.585553364268425852e+06,-3.875859443520735484e+06,2.320954329089934254e+04,2.698255071425666756e+03,3.922066104338678997e+03,5.993976190543608027e+03,9.935890516003408335e-01,6.820393537781235804e-02,6.221870994635755880e-02,6.525221736864952882e-02,9.476401701962802737e-02,7.880851324880774889e-02,8.724090850665203178e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.392272369599353027e-06,4.004559022018545323e-06,2.303160799668814868e-05,-8.895177579750477292e-01,4.561789615529818209e-01,-2.566930625256051701e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.586901604667376727e+06,-3.873897795030914713e+06,2.620652752694355513e+04,2.694706381814580709e+03,3.924527647126095871e+03,5.993960435413856430e+03,9.886215054326723539e-01,9.208474730035098865e-02,8.147523559842695384e-02,8.665855003891984043e-02,9.718464818832599217e-02,7.595807921137043284e-02,8.694036594362139492e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.087498850105096973e-06,5.494437146649681187e-06,2.245617503560052561e-05,-8.667763559502631443e-01,4.918378643858577481e-01,-8.242732509272403252e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.588248070507767610e+06,-3.871934916081492789e+06,2.920350340809426780e+04,2.691156837375871874e+03,3.926987942611896869e+03,5.993942770970573292e+03,9.822581236255075732e-01,1.164809454038194386e-01,9.997157547385115972e-02,1.077351011825103538e-01,9.955760506997290982e-02,7.310486825329860772e-02,8.649611727589760768e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.661739047578334663e-06,7.007304994272700488e-06,2.178829665820520198e-05,-8.406246990269302666e-01,5.234131451725388962e-01,-1.392436528049791622e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.589592761362469755e+06,-3.869970807296316605e+06,3.220046997969624863e+04,2.687606439239346855e+03,3.929446990013487721e+03,5.993923197220027760e+03,9.745159322341830910e-01,1.413517173361417412e-01,1.177041484782017783e-01,1.283905107820906832e-01,1.018784982107830972e-01,7.025672166085344950e-02,8.591038515040497203e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.011384299882417488e-05,8.530185428359754538e-06,2.102993540399537872e-05,-8.114601669299902342e-01,5.505861909172788948e-01,-1.959266287597329625e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.590935676804914139e+06,-3.868005469299623277e+06,3.519742628709758719e+04,2.684055188535139223e+03,3.931904788548777105e+03,5.993901714169246588e+03,9.654153182068956340e-01,1.666524110246555279e-01,1.346743068287427347e-01,1.485364209591219509e-01,1.041433980892099709e-01,6.742151728419686074e-02,8.518591190429836146e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.044410340414234701e-05,1.004987032024594367e-05,2.018326274228713835e-05,-7.797007005494677179e-01,5.730800237936486408e-01,-2.522817946094015329e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.592276816409099847e+06,-3.866038902716042474e+06,3.819437137565008743e+04,2.680503086393716330e+03,3.934361337436186659e+03,5.993878321826025058e+03,9.549798415039379984e-01,1.923347788363290178e-01,1.508881729990241283e-01,1.680880555545531396e-01,1.063488464127487210e-01,6.460711509842854972e-02,8.432592387505918885e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.065421910987116000e-05,1.155308585021786418e-05,1.925068494790857911e-05,-7.457785563929025807e-01,5.906622211180611037e-01,-3.081111574876783110e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.593616179749591276e+06,-3.864071108170592226e+06,4.119130429070961691e+04,2.676950133945885227e+03,3.936816635894655974e+03,5.993853020198933336e+03,9.432360240453273592e-01,2.183472446128366384e-01,1.663564350943343151e-01,1.869647566143137762e-01,1.084918611023642510e-01,6.182130490598267136e-02,8.333409108129379017e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.074723595090552434e-05,1.302665415775081062e-05,1.823487208545838454e-05,-7.101339300991682535e-01,6.031470825824103432e-01,-3.632126072897757241e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.594953766401518136e+06,-3.862102086288683116e+06,4.418822407763657975e+04,2.673396332322789931e+03,3.939270683143650785e+03,5.993825809297323758e+03,9.302131194141411985e-01,2.446351894052130604e-01,1.810941039048647172e-01,2.050904729756664879e-01,1.105699350643956774e-01,5.907175698085505300e-02,8.221448316261185940e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.072746645067614008e-05,1.445764841870252611e-05,1.713878880764566767e-05,-6.732085740826113662e-01,6.103970397326863306e-01,-4.173795271299621801e-01,0.000000000000000000e+00,0.000000000000000000e+00
