timestamp,observation_id,observer,station_id,app_source,beacon_start_chars,satellite_id,beacon_revision,status,mode,system_uptime (s),system_unix_time (s),mission_elapsed_time (s),system_power_cycles,system_storage_percent (%),lband_rx_bytes (B),lband_rx_packets,lband_rssi (dB),lband_synth_relock_count,uhf_rx_bytes (B),uhf_rx_packets,uhf_rssi (dB),edl_sequence_count,edl_rejected_count,fread_cache_length,fwrite_cache_length,updater_cache_length,adcs_manager_mode,battery_1_pack_1_vbatt (mV),battery_1_pack_1_vcell (mV),battery_1_pack_1_vcell_max (mV),battery_1_pack_1_vcell_min (mV),battery_1_pack_1_vcell_1 (mV),battery_1_pack_1_vcell_2 (mV),battery_1_pack_1_vcell_avg (mV),battery_1_pack_1_temperature (C),battery_1_pack_1_temperature_avg (C),battery_1_pack_1_temperature_max (C),battery_1_pack_1_temperature_min (C),battery_1_pack_1_current (mA),battery_1_pack_1_current_avg (mA),battery_1_pack_1_current_max (mA),battery_1_pack_1_current_min (mA),pack_1_status_heater_on,pack_1_status_discharge_disable,pack_1_status_charge_disable,pack_1_status_discharge_status,pack_1_status_charge_status,battery_1_pack_1_reported_state_of_charge (%),battery_1_pack_1_full_capacity (mAh),battery_1_pack_1_reported_capacity (mAh),battery_1_pack_2_vbatt (mV),battery_1_pack_2_vcell (mV),battery_1_pack_2_vcell_max (mV),battery_1_pack_2_vcell_min (mV),battery_1_pack_2_vcell_1 (mV),battery_1_pack_2_vcell_2 (mV),battery_1_pack_2_vcell_avg (mV),battery_1_pack_2_temperature (C),battery_1_pack_2_temperature_avg (C),battery_1_pack_2_temperature_max (C),battery_1_pack_2_temperature_min (C),battery_1_pack_2_current (mA),battery_1_pack_2_current_avg (mA),battery_1_pack_2_current_max (mA),battery_1_pack_2_current_min (mA),pack_2_status_heater_on,pack_2_status_discharge_disable,pack_2_status_charge_disable,pack_2_status_discharge_status,pack_2_status_charge_status,battery_1_pack_2_reported_state_of_charge (%),battery_1_pack_2_full_capacity (mAh),battery_1_pack_2_reported_capacity (mAh),solar_1_output_voltage_avg (mV),solar_1_output_current_avg (mA),solar_1_output_power_avg (mW),solar_1_output_voltage_max (mV),solar_1_output_current_max (mA),solar_1_output_power_max (mW),solar_1_output_energy (mJ),solar_2_output_voltage_avg (mV),solar_2_output_current_avg (mA),solar_2_output_power_avg (mW),solar_2_output_voltage_max (mV),solar_2_output_current_max (mA),solar_2_output_power_max (mW),solar_2_output_energy (mJ),solar_3_output_voltage_avg (mV),solar_3_output_current_avg (mA),solar_3_output_power_avg (mW),solar_3_output_voltage_max (mV),solar_3_output_current_max (mA),solar_3_output_power_max (mW),solar_3_output_energy (mJ),solar_4_output_voltage_avg (mV),solar_4_output_current_avg (mA),solar_4_output_power_avg (mW),solar_4_output_voltage_max (mV),solar_4_output_current_max (mA),solar_4_output_power_max (mW),solar_4_output_energy (mJ),solar_5_output_voltage_avg (mV),solar_5_output_current_avg (mA),solar_5_output_power_avg (mW),solar_5_output_voltage_max (mV),solar_5_output_current_max (mA),solar_5_output_power_max (mW),solar_5_output_energy (mJ),solar_6_output_voltage_avg (mV),solar_6_output_current_avg (mA),solar_6_output_power_avg (mW),solar_6_output_voltage_max (mV),solar_6_output_current_max (mA),solar_6_output_power_max (mW),solar_6_output_energy (mJ),star_tracker_1_system_storage_percent (%),star_tracker_1_status,gps_system_storage_percent (%),gps_status,gps_skytraq_number_of_sv,gps_skytraq_fix_mode,adcs_gyroscope_roll_rate (deg/s),adcs_gyroscope_pitch_rate (deg/s),adcs_gyroscope_yaw_rate (deg/s),dxwifi_system_storage_percent (%),dxwifi_status,dxwifi_radio_temperature (C),cfc_processor_system_storage_percent (%),cfc_processor_camera_status,cfc_processor_camera_temperature (C),cfc_processor_tec_status,crc32
2024-08-16T20:06:28Z,10047849,EU1AEM-KO33ov,1710,network,{{z,oresat0_5,0,beacon,0,808,946685604,0:00:00,0,6,0,0,0,2,0,0,0,0,0,0,0,0,none,7193,3596,3600,3380,3604,3589,3594,18,18,19,17,-112,-118,-120,-2880,FALSE,FALSE,FALSE,TRUE,TRUE,1,1500,0,7206,3599,3600,3380,3602,3604,3598,18,18,45,17,-103,-110,-120,-2680,FALSE,FALSE,FALSE,TRUE,TRUE,1,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,off,0,off,0,no_fix,0,0,0,0,off,0,0,0,0,FALSE,561578033
2024-08-16T20:06:58Z,10047849,EU1AEM-KO33ov,1710,network,{{z,oresat0_5,0,beacon,0,838,946685634,0:00:30,0,6,0,0,0,2,0,0,0,0,0,0,0,0,none,7195,3595,3600,3380,3604,3591,3594,18,18,19,17,-118,-118,-120,-2880,FALSE,FALSE,FALSE,TRUE,TRUE,1,1500,0,7201,3598,3600,3380,3602,3599,3598,18,18,45,17,-103,-109,-120,-2680,FALSE,FALSE,FALSE,TRUE,TRUE,1,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,off,0,off,0,no_fix,0,0,0,0,off,0,0,0,0,FALSE,1599139537
2024-08-16T20:08:28Z,10047849,EU1AEM-KO33ov,1710,network,{{z,oresat0_5,0,beacon,0,928,946685724,0:02:00,0,6,0,0,0,2,0,0,0,0,0,0,0,0,none,7187,3593,3600,3380,3603,3584,3594,18,18,19,17,-131,-119,-120,-2880,FALSE,FALSE,FALSE,TRUE,TRUE,1,1500,0,7192,3597,3600,3380,3601,3591,3598,18,18,45,17,-129,-109,-120,-2680,FALSE,FALSE,FALSE,TRUE,TRUE,1,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,off,0,off,0,no_fix,0,0,0,0,off,0,0,0,0,FALSE,3461300554
2024-08-16T20:08:58Z,10048814,Malyi UHF-KN08ja,1585,network,{{z,oresat0_5,0,beacon,0,958,946685755,0:02:31,0,6,0,0,0,2,0,0,0,0,0,0,0,0,none,7193,3593,3600,3380,3603,3590,3594,18,18,19,17,-123,-119,-120,-2880,FALSE,FALSE,FALSE,TRUE,TRUE,1,1500,0,7198,3597,3600,3380,3601,3597,3597,18,18,45,17,-104,-111,-120,-2680,FALSE,FALSE,FALSE,TRUE,TRUE,1,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,off,0,off,0,no_fix,0,0,0,0,off,0,0,0,0,FALSE,4239722873
2024-08-16T20:09:28Z,10047849,EU1AEM-KO33ov,1710,network,{{z,oresat0_5,0,beacon,0,988,946685785,0:03:01,0,6,0,0,0,2,0,0,0,0,0,0,0,0,none,7210,3600,3600,3380,3608,3602,3596,17,17,19,17,-3,-86,-40,-2880,FALSE,FALSE,FALSE,TRUE,TRUE,1,1500,0,7213,3605,3600,3380,3607,3606,3600,18,18,45,17,-15,-80,-40,-2680,FALSE,FALSE,FALSE,TRUE,TRUE,1,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5583,102,1177,5596,102,1177,6,5588,100,1153,5596,100,1153,6,0,off,0,off,0,no_fix,0,0,0,0,off,0,0,0,0,FALSE,352054920
2024-08-16T20:09:58Z,None,DL7NDR-JN48ap,None,sids,{{z,oresat0_5,0,beacon,0,1018,946685815,0:03:31,0,6,0,0,0,2,0,0,0,0,0,0,0,0,none,7243,3618,3620,3380,3629,3614,3611,17,18,19,17,174,142,160,-2880,FALSE,FALSE,FALSE,TRUE,TRUE,1,1500,1,7248,3623,3620,3380,3625,3623,3616,18,18,45,17,164,131,160,-2680,FALSE,FALSE,FALSE,TRUE,TRUE,1,1500,1,0,0,0,0,0,0,0,5143,115,1219,5575,115,1219,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5052,151,1570,5596,212,2200,62,5141,154,1622,5596,213,2211,62,0,off,0,off,0,no_fix,0,0,0,0,off,0,0,0,0,FALSE,1987650565
2024-08-16T21:40:38Z,None,DL7NDR-JN48ap,None,sids,{{z,oresat0_5,0,beacon,0,6458,946691255,1:34:11,0,6,0,0,0,2,0,0,0,0,1,0,0,0,none,7175,3588,3640,3380,3594,3581,3587,13,13,19,12,-112,-118,200,-2880,FALSE,FALSE,FALSE,TRUE,TRUE,1,1500,26,7181,3587,3640,3380,3595,3586,3590,13,13,45,12,-104,-114,200,-2680,FALSE,FALSE,FALSE,TRUE,TRUE,1,1500,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,off,0,off,0,no_fix,0,0,0,0,off,0,0,0,0,FALSE,3406071116
2024-08-16T21:41:08Z,10050860,GAO UHF-JN87hg,2410,network,{{z,oresat0_5,0,beacon,0,6488,946691285,1:34:41,0,6,0,0,0,2,0,0,0,0,1,0,0,0,none,7178,3588,3640,3380,3594,3584,3587,13,13,19,12,-112,-118,200,-2880,FALSE,FALSE,FALSE,TRUE,TRUE,1,1500,26,7180,3585,3640,3380,3594,3586,3589,13,13,45,12,-126,-114,200,-2680,FALSE,FALSE,FALSE,TRUE,TRUE,1,1500,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,off,0,off,0,no_fix,0,0,0,0,off,0,0,0,0,FALSE,2520908378
2024-08-16T21:41:38Z,10050859,Piszkesteto UHF-JN97ww,2380,network,{{z,oresat0_5,0,beacon,0,6518,946691315,1:35:11,0,6,0,0,0,2,0,0,0,0,1,0,0,0,none,7178,3587,3640,3380,3595,3583,3587,13,13,19,12,-116,-115,200,-2880,FALSE,FALSE,FALSE,TRUE,TRUE,1,1500,26,7183,3591,3640,3380,3596,3587,3589,13,13,45,12,-105,-111,200,-2680,FALSE,FALSE,FALSE,TRUE,TRUE,1,1500,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,off,0,off,0,no_fix,0,0,0,0,off,0,0,0,0,FALSE,544898792
2024-08-16T21:42:08Z,10050859,Piszkesteto UHF-JN97ww,2380,network,{{z,oresat0_5,0,beacon,0,6548,946691345,1:35:41,0,6,0,0,0,2,0,0,0,0,1,0,0,0,none,7180,3587,3640,3380,3594,3586,3587,12,12,19,12,-113,-116,200,-2880,FALSE,FALSE,FALSE,TRUE,TRUE,1,1500,26,7182,3589,3640,3380,3595,3587,3589,13,13,45,12,-106,-111,200,-2680,FALSE,FALSE,FALSE,TRUE,TRUE,1,1500,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,off,0,off,0,no_fix,0,0,0,0,off,0,0,0,0,FALSE,3459817814
