x_x,x_y,x_z,v_x,v_y,v_z,q0,q1,q2,q3,w_x,w_y,w_z,W1,W2,W3,W4,B_x,B_y,B_z,q_e_norm
5.582804794285225682e+06,-3.879785591619152576e+06,1.721983936326955518e+04,2.704940819977176488e+03,3.916642786899418752e+03,5.994561930769850733e+03,9.992861251060394245e-01,2.181218105717476138e-02,2.181216840711295776e-02,2.181204951919698057e-02,8.726646000000000403e-02,8.726646000000000403e-02,8.726646000000000403e-02,-1.915472042401933893e-04,-1.402968190207656363e-04,-7.766586463642761654e-06,2.752357618679861994e-06,-5.639797851351818229e-06,-2.567362348644490087e-07,2.417825437988682573e-05,7.772575816300530960e-08
5.584156371374282986e+06,-3.877826649564546067e+06,2.021711741350466400e+04,2.701367392088268389e+03,3.919125222567173296e+03,5.994549950458396779e+03,9.971290797026101105e-01,4.450845526986445255e-02,4.301220760946540544e-02,4.362447913614978662e-02,9.086766812211855004e-02,8.486208779652490430e-02,8.751810511527001457e-02,-5.162630102094139216e-05,-3.239640464932663262e-05,2.344355879972032829e-05,8.055226573487075069e-05,-6.677395952753138012e-06,1.088495625690367372e-06,2.396784012775638080e-05,1.141276564364801516e-07
5.585506161533237435e+06,-3.875866466605603229e+06,2.321438899401989329e+04,2.697793099762106522e+03,3.921606404114689212e+03,5.994536051891009265e+03,9.935358575445255580e-01,6.757779256414259139e-02,6.408142775389250034e-02,6.492434032949828682e-02,9.267047922520527115e-02,8.442481393674614032e-02,8.580512873335051360e-02,-1.180992766032716275e-04,8.995823724974736290e-05,-6.999963373488298987e-05,-1.012042756832390295e-04,-7.540915185595088510e-06,2.509257350539198231e-06,2.356549956890111437e-05,1.057240319068952772e-06
5.586854164330160245e+06,-3.873905043369580992e+06,2.621165314568836038e+04,2.694217944142465058e+03,3.924086330747986722e+03,5.994520235072137439e+03,9.885570874227459504e-01,9.102601039784148640e-02,8.374403773493042935e-02,8.637385778334340236e-02,9.414067900453296223e-02,7.912479017075113585e-02,8.723119042488476638e-02,1.684502242988448258e-04,-1.210086339489454535e-04,-9.010609501261303289e-05,1.755600393021903064e-04,-8.422491685283445652e-06,4.029886338347254226e-06,2.307070039617590607e-05,9.983795532519934568e-07
5.588200379333687015e+06,-3.871942380484136753e+06,2.920890890938556186e+04,2.690641926373392380e+03,3.926565001673491224e+03,5.994502500006840819e+03,9.822605753974448239e-01,1.143335049085572042e-01,1.030638384163170135e-01,1.071363571036668544e-01,9.416915083017353416e-02,7.800345258942575910e-02,8.504109563815545614e-02,2.539407282533737883e-05,-8.532578687399803500e-05,6.672876061724558139e-05,-8.485557757975938325e-05,-9.113354589486747674e-06,5.487544047713837637e-06,2.251561161616123086e-05,3.094981962714626889e-06
5.589544806113031693e+06,-3.869978478577320930e+06,3.220615532598968275e+04,2.687065047599215632e+03,3.929042416098027843e+03,5.994482846700795562e+03,9.744713028750798811e-01,1.386069431505582983e-01,1.212687751624075411e-01,1.284606203463792840e-01,9.793143668314847894e-02,7.407483230033420907e-02,8.879058607807267800e-02,1.070754341420477516e-04,8.626466391663876034e-05,6.556735103461601162e-05,1.006338913538250160e-04,-9.637305902683249446e-06,6.975212759643340110e-06,2.176672559813697561e-05,2.897815046587481902e-06
5.590887444237975404e+06,-3.868013338277583476e+06,3.520339143638188398e+04,2.683487308964535259e+03,3.931518573228823698e+03,5.994461275160292644e+03,9.653990731535194714e-01,1.632161222451996296e-01,1.383125398984031973e-01,1.491895536089374585e-01,9.963707655765911830e-02,6.966268150867345466e-02,8.792987914306976682e-02,2.011988744900768762e-05,-1.183737282801538887e-04,1.097360716340142257e-04,1.080308616172251526e-04,-1.005062455060208571e-05,8.520977135675424061e-06,2.109634937471179111e-05,1.358530494544041289e-06
5.592228293278874829e+06,-3.866046960213769693e+06,3.820061628144664428e+04,2.679908711614228196e+03,3.933993472273508360e+03,5.994437785392232399e+03,9.549414701267825434e-01,1.884065836537113792e-01,1.549512564210930587e-01,1.691557076529212889e-01,1.029597518991346855e-01,6.801473533627402923e-02,8.639063599356643086e-02,-2.537744648624958954e-04,1.177421460529418069e-04,-8.181180266062028123e-05,-7.802767189672954158e-05,-1.047802104065826866e-05,1.009417235794127579e-05,2.012685579948064526e-05,-3.583561731801410133e-07
5.593567352806657553e+06,-3.864079345015119761e+06,4.119782890207204036e+04,2.676329256693446041e+03,3.936467112440114761e+03,5.994412377404132712e+03,9.433501270236822611e-01,2.139812555473763478e-01,1.707813187034728231e-01,1.875732414506919854e-01,1.056882860505466981e-01,6.419683615431241719e-02,8.208417133592174619e-02,2.750732358321948375e-05,-1.539163241944809410e-05,2.121383775808678110e-05,-3.128526452373270073e-05,-1.064676336212937003e-05,1.159601937498698375e-05,1.925256448075671808e-05,-4.197439443132111592e-06
5.594904622392828576e+06,-3.862110493311271071e+06,4.419502833915004885e+04,2.672748945347612334e+03,3.938939492937078285e+03,5.994385051204125375e+03,9.302952756034623683e-01,2.397725508618137880e-01,1.862102607313234626e-01,2.060345762893692201e-01,1.074193292989623627e-01,6.355256565470401853e-02,8.383289559657175483e-02,-9.988463517332453511e-05,-1.207034743322361674e-04,-7.689352615423690300e-06,-7.103977309347503567e-06,-1.069682982608398438e-05,1.300957492065169317e-05,1.822568998457905367e-05,-6.982695143875616850e-06
